id_anuncio,url,titulo,precio,superficie_m2,habitaciones,zona_scraping
9d01fb3cf208,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-61697970277_520648/,Piso en calle de Santa Ana,316000.0,117.0,3.0,Fuenlabrada
fb1a3bf04213,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61699636760_520514/,"Piso en Avenida de las Naciones, 41",242900.0,81.0,3.0,Fuenlabrada
91b3fab21ce0,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-61687201886_109200/,"Piso en Urbanización Nuevo Versalles, nº >",333000.0,96.0,3.0,Fuenlabrada
e5a83a51f7ba,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60895000956_100500/,Piso en calle de Finlandia,255000.0,79.0,2.0,Fuenlabrada
594398cf3089,https://www.pisos.com/comprar/chalet-vivero_hospital_universidad-37536122493_500185/,Chalet en calle de Ernesto 'Che' Guevara,640000.0,281.0,4.0,Fuenlabrada
506d12a098ef,https://www.pisos.com/comprar/chalet-vivero_hospital_universidad-56740488680_500185/,Chalet en calle de Ernesto 'Che' Guevara,750000.0,305.0,4.0,Fuenlabrada
b1e324808ca7,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-43429325788_100500/,Piso en calle de la Harina,203770.0,91.0,3.0,Fuenlabrada
f61666b71f13,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-55027707028_100500/,Piso en Centro-Arroyo-La Fuente,203500.0,66.0,3.0,Fuenlabrada
0d74061273a5,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62526861306_524295/,Piso en calle de Barcelona,250000.0,71.0,3.0,Fuenlabrada
a641374d02a0,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62507055091_101800/,Piso en calle Humanes,355000.0,90.0,3.0,Fuenlabrada
40e3d2b73127,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62502120268_101800/,Piso en Paseo de Valmoral,215000.0,80.0,2.0,Fuenlabrada
456146d21830,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62504705310_101800/,Piso en calle de la Comunidad de Madrid,250000.0,70.0,2.0,Fuenlabrada
1620786b1d8c,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62507412681_101800/,Piso en calle de Gazaperas,275000.0,80.0,3.0,Fuenlabrada
c0baa3e1d7e7,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62574972731_100500/,Piso en calle de Pozuelo,246000.0,105.0,3.0,Fuenlabrada
b1b4f6bd0586,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62505052564_101800/,Piso en calle del Callao,200000.0,65.0,3.0,Fuenlabrada
d2eefcb75340,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62521798107_101800/,Piso en calle de la Fuente,200000.0,75.0,3.0,Fuenlabrada
c8c873488c22,https://www.pisos.com/comprar/piso-cerro_el_molino28943-62566291123_101800/,Piso en calle de Alemania,285000.0,90.0,3.0,Fuenlabrada
6f9af0ccacbe,https://www.pisos.com/comprar/chalet-cerro_el_molino28942-62547360670_101800/,Chalet en calle del Torrente,550000.0,,4.0,Fuenlabrada
421c1a284bef,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62591469112_101800/,Piso en calle del Callao,254000.0,85.0,3.0,Fuenlabrada
19aa9ea9ee6c,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62596859179_101800/,Piso en Avenida de Los Andes,239000.0,75.0,3.0,Fuenlabrada
ab5cc618b6ee,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-62552998224_101800/,Piso en calle de Miguel de Unamuno,255000.0,75.0,3.0,Fuenlabrada
5d7c3c840d55,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-62550669103_101800/,Piso en Urbanización Nuevo Versalles,305000.0,100.0,3.0,Fuenlabrada
736a83db9c4a,https://www.pisos.com/comprar/atico-avanzada_la_cueva28945-62522380373_100500/,Ático en calle de Brunete,234900.0,80.0,1.0,Fuenlabrada
0dd18d252b4b,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-62559404583_101800/,Piso en Urbanización Nuevo Versalles,265000.0,90.0,3.0,Fuenlabrada
b6fedc913416,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-62510713936_532430/,Piso en Urbanización Nuevo Versalles,315000.0,95.0,3.0,Fuenlabrada
f0aab9bb0d0c,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-61674513037_101800/,Piso en calle de la Fuente,266000.0,97.0,2.0,Fuenlabrada
2d61052d0fe5,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-61750553360_100500/,Piso en calle de Reinosa,263000.0,77.0,2.0,Fuenlabrada
2a372e9f5aa1,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-61753514271_100500/,Piso en calle de Reinosa,237000.0,70.0,2.0,Fuenlabrada
360484058c29,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61713092802_101800/,Piso en calle de Francia,230000.0,80.0,2.0,Fuenlabrada
c02dc8b5822e,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-61676103197_101800/,Piso en calle de la Constitución,190000.0,55.0,1.0,Fuenlabrada
fa44e3c18ca4,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61751489976_101800/,Piso en calle de Francia,279900.0,85.0,3.0,Fuenlabrada
2df4cfcd3311,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61763792373_101800/,Piso en calle de Francia,265000.0,80.0,3.0,Fuenlabrada
911ff320bc1d,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-61765610969_100500/,Piso en calle de Galicia,259000.0,104.0,3.0,Fuenlabrada
f1312f636ba8,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60913783053_104700/,Piso en calle de Grecia,255000.0,88.0,3.0,Fuenlabrada
7b9fc07c3090,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60876845492_100500/,Piso en calle de Portugal,237900.0,80.0,3.0,Fuenlabrada
dd532bcad1aa,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60852657608_101800/,Piso en calle de Mónaco,210000.0,80.0,3.0,Fuenlabrada
779298fc61e2,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60843937450_101800/,Piso en calle de Fuendetodos,335000.0,105.0,3.0,Fuenlabrada
bc4097df9ef1,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60890978392_101800/,Piso en calle de Bélgica,270000.0,95.0,3.0,Fuenlabrada
f619952912ea,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60050634896_101800/,Piso en Paseo de Lisboa,239000.0,80.0,3.0,Fuenlabrada
7cd6bae0c7f7,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60008214437_101800/,Piso en calle de Fuendetodos,379000.0,105.0,3.0,Fuenlabrada
ae36d5f30b78,https://www.pisos.com/comprar/casa_adosada-naranjo_la_serna28942-59240998598_100500/,Casa adosada en calle de Luarca,569900.0,298.0,4.0,Fuenlabrada
78b79db11986,https://www.pisos.com/comprar/chalet-centro_arroyo_la_fuente28944-58380636741_100500/,Chalet en calle de Hontanar,615000.0,250.0,4.0,Fuenlabrada
20f9fd351aca,https://www.pisos.com/comprar/casa_adosada-centro_arroyo_la_fuente28944-58362469987_100500/,Casa adosada en calle de Fuentevaqueros,615000.0,250.0,4.0,Fuenlabrada
b6d073b03505,https://www.pisos.com/comprar/piso-cerro_el_molino28943-56681889992_101800/,Piso en calle San Joaquín,212999.0,61.0,2.0,Fuenlabrada
04966525753b,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-5667016645_109700/,"Piso en calle Serranillos, 13",249900.0,,2.0,Fuenlabrada
854126f7ce58,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-5645261526_109700/,"Piso en calle Serranillos, 13",250900.0,,2.0,Fuenlabrada
65044ca33299,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-54208787176_526848/,Piso en Urbanización Nuevo Versalles,188000.0,58.0,1.0,Fuenlabrada
1e00411bbb1f,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-53384521816_100500/,Piso en calle de Reinosa,379900.0,143.0,4.0,Fuenlabrada
872045f10bf1,https://www.pisos.com/comprar/piso-loranca_nuevo_versalles_parque_miraflores-53355913211_991741/,Piso en Urbanización Nuevo Versalles,188000.0,84.0,1.0,Fuenlabrada
7719edd8938f,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-52513279662_996012/,Piso en Avenida de Francisco Javier Sauquillo,189900.0,60.0,1.0,Fuenlabrada
949ce0e56d13,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-52546555193_996012/,Piso en calle de Miguel de Unamuno,189900.0,60.0,1.0,Fuenlabrada
b82d604ec183,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-5605966922_109700/,"Piso en calle Serranillos, 13",234900.0,,2.0,Fuenlabrada
73895c3becaa,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-5642629340_109700/,"Piso en calle Serranillos, 13",253900.0,,2.0,Fuenlabrada
6f58c29618f0,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-62572050349_100500/,Piso en Naranjo-La Serna,286000.0,97.0,3.0,Fuenlabrada
3bbc2148a81f,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-61756774820_100500/,Piso en calle de Reinosa,220000.0,65.0,1.0,Fuenlabrada
e11c4b654a44,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61736898459_103600/,"Piso en Avenida de las Naciones, 1",240000.0,90.0,,Fuenlabrada
ae8c6ad95329,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28945-61716262091_510357/,Piso en Centro-Arroyo-La Fuente,259900.0,85.0,3.0,Fuenlabrada
b977f32830a2,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-61737407634_100500/,Piso en calle de Cáceres,130000.0,60.0,2.0,Fuenlabrada
4297e9f455b3,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60001858360_100500/,Piso en calle Fco Javier Sauquillo,186500.0,148.0,2.0,Fuenlabrada
fcb5dacc712e,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60030289973_100500/,Piso en calle de la Estación,198875.0,68.0,2.0,Fuenlabrada
f5432535674e,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-60009481890_100500/,Piso en Avenida de Los Andes,159000.0,66.0,3.0,Fuenlabrada
4e8b9f92df77,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-60038660060_100500/,Piso en calle de Paraguay,188500.0,75.0,3.0,Fuenlabrada
74e8b098083b,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-59177758431_100200/,Piso en Avanzada-La Cueva,249900.0,73.0,3.0,Fuenlabrada
6150fa307840,https://www.pisos.com/comprar/piso-avanzada_la_cueva28944-52563207632_107000/,Piso en calle de la Harina,203770.0,91.0,1.0,Fuenlabrada
c70ace7af5c1,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62557103490_106500/,Piso en Centro-Arroyo-La Fuente,297000.0,100.0,2.0,Fuenlabrada
887615252b1e,https://www.pisos.com/comprar/piso-cerro_el_molino28943-62581800939_500185/,Piso en Cerro-El Molino,274900.0,84.0,3.0,Fuenlabrada
2c1c25de92ac,https://www.pisos.com/comprar/piso-vivero_hospital_universidad-62546965263_100500/,Piso en Hospital - Universidad - Vivero,425000.0,113.0,4.0,Fuenlabrada
8cb69012a80c,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62545914866_500185/,Piso en Avanzada-La Cueva,198470.0,77.0,3.0,Fuenlabrada
79a613040306,https://www.pisos.com/comprar/piso-fuenlabrada-62500974961_106500/,Piso en Fuenlabrada,295000.0,98.0,3.0,Fuenlabrada
3d650c570050,https://www.pisos.com/comprar/atico-vivero_hospital_universidad-493071818_500185/,Ático en Hospital,499900.0,143.0,2.0,Fuenlabrada
6fb874fb481c,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62501922047_109300/,Piso en calle de Belén,219000.0,86.0,3.0,Fuenlabrada
982c2351f164,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-62524037272_109300/,Piso en calle de Reinosa,252000.0,87.0,3.0,Fuenlabrada
f6f3791d69ef,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62588639426_109300/,Piso en calle de San Andrés,230000.0,76.0,,Fuenlabrada
2b4476c24e0f,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-61733104110_500185/,Piso en Centro-Arroyo-La Fuente,289000.0,115.0,3.0,Fuenlabrada
85a9f0815640,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62530476159_106500/,Piso en Avanzada-La Cueva,181500.0,82.0,3.0,Fuenlabrada
a106aa401da0,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62534210889_101800/,Piso en Centro-Arroyo-La Fuente,250000.0,83.0,3.0,Fuenlabrada
5b59f2d8bc18,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62535762132_510357/,Piso en Centro-Arroyo-La Fuente,357260.0,120.0,3.0,Fuenlabrada
76889ef9c9ab,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-62553439973_101000/,Piso en Avanzada-La Cueva,208000.0,71.0,3.0,Fuenlabrada
48b1cdf6c433,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62597489050_993813/,Piso en Centro-Arroyo-La Fuente,350000.0,120.0,4.0,Fuenlabrada
60ad658ec484,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28945-62588194828_100500/,Piso en Centro,246000.0,105.0,3.0,Fuenlabrada
3df6a08d9d9d,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-62583007200_100200/,Piso en Naranjo-La Serna,254900.0,75.0,,Fuenlabrada
addadd1ced47,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-62554353913_100200/,Piso en Centro-Arroyo-La Fuente,209990.0,70.0,3.0,Fuenlabrada
b5d7874b7bf8,https://www.pisos.com/comprar/piso-cerro_el_molino28943-62556692062_106500/,Piso en Cerro-El Molino,290000.0,90.0,4.0,Fuenlabrada
9a779e65b2a3,https://www.pisos.com/comprar/piso-cerro_el_molino28943-61698735464_100200/,Piso en Cerro-El Molino,210000.0,78.0,3.0,Fuenlabrada
267aae3511fd,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-61717694059_513485/,Piso en Centro-Arroyo-La Fuente,356000.0,137.0,3.0,Fuenlabrada
5e654b06a01b,https://www.pisos.com/comprar/casa_adosada-centro_arroyo_la_fuente28944-61704253904_100500/,Casa adosada en Centro-Arroyo-La Fuente,279900.0,108.0,4.0,Fuenlabrada
65f4bb84de18,https://www.pisos.com/comprar/casa_adosada-loranca_nuevo_versalles_parque_miraflores-61738426633_108500/,Casa adosada en Loranca- Nuevo Versalles-Parque Miraflores,529000.0,177.0,5.0,Fuenlabrada
70be53f5dcbd,https://www.pisos.com/comprar/piso-vivero_hospital_universidad-61685885861_108500/,Piso en Vivero-Hospital-Universidad,399000.0,106.0,3.0,Fuenlabrada
ff1e4728cb5c,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-61692244108_510357/,Piso en Avanzada-La Cueva,225500.0,50.0,2.0,Fuenlabrada
51550a0d2c34,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-61740590159_108500/,Piso en Avanzada-La Cueva,239000.0,74.0,3.0,Fuenlabrada
1a93d8bacf65,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-61766359230_100200/,Piso en Naranjo-La Serna,259000.0,85.0,3.0,Fuenlabrada
6958750b420a,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-61688642319_510357/,Piso en Avanzada-La Cueva,259900.0,85.0,3.0,Fuenlabrada
26de4ff30755,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-61697452578_108500/,Piso en Naranjo-La Serna,287000.0,77.0,3.0,Fuenlabrada
83678083fc7f,https://www.pisos.com/comprar/duplex-centro_arroyo_la_fuente28944-61742033928_101800/,Dúplex en Centro-Arroyo-La Fuente,265000.0,70.0,2.0,Fuenlabrada
906c2d96da9f,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-60873187508_510357/,Piso en Avanzada-La Cueva,217500.0,77.0,2.0,Fuenlabrada
fc72c557af4d,https://www.pisos.com/comprar/chalet_pareado-avanzada_la_cueva28945-60886843431_510357/,Chalet pareado en Avanzada-La Cueva,560000.0,303.0,7.0,Fuenlabrada
2a8e75aed947,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-60839817310_108500/,Piso en Naranjo-La Serna,255000.0,91.0,3.0,Fuenlabrada
76ccb734a317,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60840997620_100200/,Piso en Cerro-El Molino,199000.0,76.0,3.0,Fuenlabrada
92dcc2f79d3b,https://www.pisos.com/comprar/piso-avanzada_la_cueva28945-60896788669_531673/,Piso en calle de Málaga,140600.0,70.0,5.0,Fuenlabrada
2ae894834adc,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60924531120_100200/,Piso en Centro-Arroyo-La Fuente,219900.0,81.0,3.0,Fuenlabrada
b17988376b6f,https://www.pisos.com/comprar/atico-naranjo_la_serna28942-60833954859_106500/,Ático en Naranjo-La Serna,395000.0,120.0,4.0,Fuenlabrada
cc6aa46cd89d,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-60840536568_100200/,Piso en Naranjo-La Serna,249000.0,85.0,3.0,Fuenlabrada
a8932d55bc04,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60836544642_100200/,Piso en Cerro-El Molino,195000.0,90.0,3.0,Fuenlabrada
9b127c6f48b1,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60920628688_103600/,"Piso en calle del Ferrocarril, 8",,85.0,,Fuenlabrada
5522142ffa43,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60868557397_100200/,Piso en Cerro-El Molino,239900.0,106.0,2.0,Fuenlabrada
f88ba05bfb99,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-60860303115_108900/,Piso en Naranjo-La Serna,239900.0,82.0,3.0,Fuenlabrada
6964e5ac3c43,https://www.pisos.com/comprar/piso-cerro_el_molino28943-60890961586_500185/,Piso en Avd Naciones,367865.0,139.0,4.0,Fuenlabrada
96d951e04404,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60838015663_106500/,Piso en Centro-Arroyo-La Fuente,209800.0,80.0,3.0,Fuenlabrada
11b86c4cb708,https://www.pisos.com/comprar/piso-centro_arroyo_la_fuente28944-60898331393_106500/,Piso en Centro-Arroyo-La Fuente,209800.0,74.0,3.0,Fuenlabrada
12b4efdafa56,https://www.pisos.com/comprar/piso-naranjo_la_serna28942-60922399821_100200/,Piso en Naranjo-La Serna,269000.0,97.0,3.0,Fuenlabrada
bc5e062020cd,https://www.pisos.com/comprar/piso-naranjo_la_serna28941-60059644690_100500/,Piso en Plaza de Panticosa,186000.0,87.0,3.0,Fuenlabrada
